PRODUTO_ID,DESCRICAO,PRECO_UNITARIO,CUSTO_UNITARIO,PESO_UNITARIO
1,Rastreador de atividades,46.95,5.13,2.55
2,Teclado sem fio,52.61,5.89,3.41
3,Fones de ouvido sem fio com controle de toque,85.62,8.58,1.96
4,Fones de ouvido com cancelamento de ruído,47.55,5.53,2.78
5,Alto-falante portátil,88.59,35.3,3.99
6,Umidificador,11.17,3.72,3.32
7,Despertador,94.06,48.15,3.32
8,Sacos de armazenamento a vácuo,6.19,1.59,1.2
9,Cabides de armário,90.99,29.85,0.89
10,Cesto de lavanderia,36.8,6.83,4.54
11,Porta-copos,78.61,18.23,1.2
12,Tigelas únicas,29.09,3.71,3.31
13,Escala digital,27.96,2.83,0.43
14,Protetores de fogão,79.94,10.1,0.86
15,Máquina de liquidificador portátil,48.46,17.92,4.08
16,brinquedos movidos a energia solar,20.32,2.46,4.72
17,Luzes de corda de LED ao ar livre,51.62,5.45,0.54
18,garrafa de água ecologicamente correta,99.52,26.15,3.71
19,Saco de compras reutilizável,6.55,0.81,3.73
20,Envoltório de algodão de cera de abelha,8.01,3.59,4.04
21,capa de iphone,51.95,31.02,1.28
22,Xícara de café,10.12,2.61,3.39
23,Caso chave,37.52,10.36,4.62
24,Aquecedor de mãos,63.09,8.89,1.16
25,Porta-óculos,52.25,17.95,2.17
26,Estojo de papelaria,90.87,14.1,1.19
27,Lâmpada de mesa,46.01,7.42,4.96
28,Suporte para computador,76.81,7.88,0.92
29,Almofada de cintura,67.27,6.86,0.14
30,Bloco de anotações,33.42,12.26,0.99
31,elástico de resistência,66.86,28.54,3.81
32,Barra de treino ajustável,18.87,11.18,2.69
33,Tapete de yoga,46.98,18.99,2.73
34,Puxar corda,43.49,4.51,0.64
35,conjunto de fitness em casa,83.99,8.62,2.94
36,Brinquedos artesanais,71.3,8.32,4.09
37,brinquedos magnéticos,72.22,13.7,4.03
38,brinquedos matemáticos,14.78,8.44,0.99
39,Brinquedos de quebra-cabeça,68.19,13.72,0.79
40,Brinquedos de bloco,64.86,10.05,4.08
41,colar de LED,79.19,12.89,2.97
42,Cama para animais de estimação,31.57,3.29,4.62
43,brinquedo de gato,9.36,1.1,3.55
44,Fonte de água,82.87,9.2,2.95
45,Esteira à prova d'água,33.01,8.06,2.05
46,Hoodies e camisolas,24.05,5.32,3.96
47,Calção,83.94,15.66,4.68
48,Trajes masculinos e femininos,58.94,6.84,0.98
49,chinelos para casa,49.64,8.67,0.27
50,Óculos de computador,13.24,1.43,0.92
